VPOSACTH_EU,HPOSACTH_EU,CUR1_EU,CUR2_EU,CUR3_EU,TEMP1_EU,TEMP2_EU,TEMP3_EU
0,0,1387.8,1282.4,1572.8,0,26.4,31.4
0,0,1387.4,1283.4,1569.4,0,26.3,
0,0,1388.4,1282,1566,0,26.3,30.9
18,0,1387.4,1280,1572.4,0,26.5,31.3
18,0,1388.8,1279.6,1575.8,0,26.4,31
29,0,1389.8,1276.6,1572.8,0,26.4,31
36,0,1393.2,1277.6,1570.8,0,26.4,31.3
39,0,1392.8,1274.2,1565.6,0,26.4,30.8
53,0,1393.2,1271.8,1571.8,0,26.4,30.8
54,0,1398.2,1270.8,1575.2,0,26.4,30.8
61,0,1398.6,1271.2,1571.8,0,26.4,31.1
72,0,1400,1270.8,1573.4,0,26.4,31
72,0,1398.6,1266.8,1572.8,0,26.4,30.9
90,0,1401,1265.8,1575.2,0,26.5,30.9
90,0,1401,1265.8,1566,0,26.5,31.4
90,0,1402.6,1266.8,1569.4,0,26.5,30.9
108,0,1401.6,1265.4,1573.4,0,26.4,31.1
108,0,1402,1264.4,1571.8,0,26.4,31.1
126,0,1402,1267.4,1575.2,0,26.4,31
126,0,1402,1267.4,1566,0,26.5,30.8
136,0,1401,1267.4,1574.2,0,26.4,31.5
144,0,1399.6,1269.2,1566,0,26.4,31.4
146,0,1398.2,1268.4,1572.8,0,26.4,31.4
162,0,1399,1269.8,1568.4,0,26.4,31.3
162,0,1398.6,1274.2,1564.6,0,26.5,31.5
171,0,1397.6,1274.6,1569.8,0,26.5,31.4
180,0,1395.6,1277,1566,0,26.6,31.4
182,0,1392.8,1278,1564,0,26.4,31.4
196,0,1391.2,1278.6,1571.8,0,26.4,31.1
198,0,1388.8,1280,1575.2,0,26.6,31.4
202,0,1388.4,1282.4,1569.8,0,26.2,30.8
216,0,1386.8,1285.4,1572.8,0,26.5,30.8
216,0,1386,1287.8,1573.8,0,26.5,31.4
227,0,1384.4,1288.4,1568.4,0,26.5,31.3
234,0,1384,1292.8,1570.4,0,26.4,30.8
237,0,1385,1296.2,1571.4,0,26.5,30.8
252,0,1385,1297.6,1571.4,0,26.5,31.1
252,0,1384,1298,1578.6,0,26.5,31.5
270,0,1382.6,1298,1577.8,0,26.4,31.3
270,0,1382,1296.6,1578.2,0,26.5,31.3
270,0,1379.6,1296.6,1575.2,0,26.5,30.8
288,0,1377.6,1295.6,1570.8,0,26.4,31
288,0,1377.6,1296.2,1575.8,0,26.4,31.1
305,0,1378.2,1295.6,1574.8,0,26.5,31.1
306,0,1378.2,1295.6,1565.6,0,26.5,31
306,0,1379,1294.2,1570.8,0,26.4,31
306,0,1379,1294.2,1570.8,0,26.4,31
306,0,1379,1294.2,1570.8,0,26.4,31
337,0,1382,1291.2,1575.2,0,26.4,31.2
342,0,1382.6,1290.8,1572.8,0,26.7,31.1
342,0,1381.6,1287.4,1571.8,0,26.5,31.2
342,0,1384,1285.8,1569.4,0,26.3,31.2
342,0,1383,1286.8,1571.8,0,26.5,31.3
342,10,1377.6,1286.4,1568,0,26.5,31.1
342,10,1367.8,1287.4,1572.4,0,26.6,31
342,10,1356.6,1285.8,1569.8,0,26.6,31
342,10,1353.2,1283,1571.4,0,26.5,31.3
342,10,1350.2,1282,1570.4,0,26.4,31.1
340,10,1351.2,1282,1571.4,0,26.4,31
324,10,1349.8,1284.4,1572.4,0,26.5,31.2
324,10,1349.4,1283,1577.2,0,26.4,31.2
314,10,1347.8,1281.4,1566,0,26.6,31.1
306,10,1351.8,1285.4,1568.4,0,26.4,31.4
306,10,1356.2,1287.8,1571.4,0,26.4,31.4
288,10,1359.6,1286.4,1571.8,0,26.4,31.4
288,10,1359.6,1283.4,1574.2,0,26.5,31.5
270,10,1362,1282,1569,0,26.3,31.2
270,10,1362,1281.4,1573.4,0,26.3,31.2
270,10,1362,1281.4,1573.4,0,26.3,31.2
270,10,1361.6,1277.6,1573.4,0,26.3,31.2
